project_path,project_id
gitlab-cookbooks/cookbook-gitlab-runner,1755725
gitlab-cookbooks/cookbook-wrapper-gitlab-runner,1755701
gitlab-cookbooks/gitlab-docker,1639226
gitlab-cookbooks/gitlab-qa-tunnel,7243725
gitlab-cookbooks/gitlab-alertmanager,5245690
gitlab-cookbooks/gitlab-prometheus,1663959
gitlab-cookbooks/gitlab-exporters,5252782
gitlab-cookbooks/mtail,3569903
gitlab-com/runbooks,1148549
gitlab-com/ci-prometheus-configuration,4343186
gitlab-org/charts/gitlab-runner,6329679
gitlab-org/release/docs,5191294
gitlab-org/gitlab-terminal,7792567
gitlab-org/grafana-dashboards,928825
gitlab-com/www-gitlab-com,7764
gitlab-org/gitlab-elasticsearch-indexer,2953390
gitlab-org/security-products/license-management,6130122
gitlab-org/design.gitlab.com,4456656
gitlab-org/omnibus-gitlab,20699
