major_minor_version,release_date
13.11,2021-04-22
13.10,2021-03-22
13.9,2021-02-22
13.8,2021-01-22
13.7,2020-12-22
13.6,2020-11-22
13.5,2020-10-22
13.4,2020-09-22
13.3,2020-08-22
13.2,2020-07-22
13.1,2020-06-22
13.0,2020-05-22
12.10,2020-04-22
12.9,2020-03-22
12.8,2020-02-22
12.7,2020-01-22
12.6,2019-12-22
12.5,2019-11-22
12.4,2019-10-22
12.3,2019-09-22
12.2,2019-08-22
12.1,2019-07-22
12.0,2019-06-22
11.11,2019-05-22
11.10,2019-04-22
11.9,2019-03-22
11.8,2019-02-22
11.7,2019-01-22
11.6,2018-12-22
11.5,2018-11-22
11.4,2018-10-22
11.3,2018-09-22
11.2,2018-08-22
11.1,2018-07-22
11.0,2018-06-22
10.8,2018-05-22
10.7,2018-04-22
10.6,2018-03-22
10.4,2018-01-22
10.3,2017-12-22
10.2,2017-11-22
10.1,2017-10-22
10.0,2017-09-22
9.5,2017-08-22
9.4,2017-07-22
9.3,2017-06-22
9.2,2017-05-22
9.1,2017-04-22
9.0,2017-03-22
8.17,2017-02-22
8.16,2017-01-22
8.15,2016-12-22
8.14,2016-11-22
8.13,2016-10-22
8.12,2016-09-22
8.11,2016-08-22
8.10,2016-07-22
8.9,2016-06-22
8.8,2016-05-22
8.7,2016-04-22
8.6,2016-03-22
8.5,2016-02-22
8.4,2016-01-22
8.3,2015-12-22
8.2,2015-11-22
8.1,2015-10-22
8.0,2015-09-22
7.14,2015-08-22
7.13,2015-07-22
7.12,2015-06-22
7.11,2015-05-22
7.10,2015-04-22
7.9,2015-03-22
7.8,2015-02-22
7.7,2015-01-22
7.6,2014-12-22
7.5,2014-11-22
7.4,2014-10-22
7.3,2014-09-22
7.2,2014-08-22
7.1,2014-07-22
7.0,2014-06-22
6.9.0,2014-05-22
6.8.0,2014-04-22
6.7.0,2014-03-22
6.6.0,2014-02-22
6.5.0,2014-01-22
6.4.0,2013-12-22
6.3.0,2013-11-22
6.2.0,2013-10-22
6.1.0,2013-09-22
6.0.0,2013-08-22
5.4.0,2013-07-22
5.3.0,2013-06-22
5.2.0,2013-05-22
5.1.0,2013-04-22
5.0.0,2013-03-22
4.1.0,2013-01-22
4.0.0,2012-12-23
3.1.0,2012-11-22
3.0.0,2012-10-22
2.9.0,2012-09-22
2.8.0,2012-08-22
2.7.0,2012-07-22
2.6.0,2012-06-22
2.5.0,2012-05-22
2.4.0,2012-04-22
2.3.0,2012-03-22
2.2.0,2012-02-22
2.1.0,2012-01-22
2.0.0,2011-12-22
1.2.0,2011-11-22
1.1.0,2011-10-22
1.0.0,2011-10-13
