date_week,domain,maintainers,engineers
2018-01-01,Backend,8,31
2018-01-01,Frontend,6,15
2018-01-08,Backend,8,31
2018-01-08,Frontend,6,15
2018-01-15,Backend,8,31
2018-01-15,Frontend,6,16
2018-01-22,Backend,8,32
2018-01-22,Frontend,6,16
2018-01-29,Backend,8,32
2018-01-29,Frontend,6,16
2018-02-05,Backend,8,33
2018-02-05,Frontend,6,16
2018-02-12,Backend,8,33
2018-02-12,Frontend,6,17
2018-02-19,Backend,8,33
2018-02-19,Frontend,6,17
2018-02-26,Backend,8,33
2018-02-26,Frontend,6,17
2018-03-05,Backend,8,36
2018-03-05,Frontend,7,17
2018-03-12,Backend,8,36
2018-03-12,Frontend,7,19
2018-03-19,Backend,8,36
2018-03-19,Frontend,7,18
2018-03-26,Backend,8,37
2018-03-26,Frontend,7,17
2018-04-02,Backend,8,37
2018-04-02,Frontend,7,17
2018-04-09,Backend,8,40
2018-04-09,Frontend,7,17
2018-04-16,Backend,8,37
2018-04-16,Frontend,7,17
2018-04-23,Backend,8,42
2018-04-23,Frontend,8,16
2018-04-30,Backend,8,44
2018-04-30,Frontend,8,15
2018-05-07,Backend,8,44
2018-05-07,Frontend,8,15
2018-05-14,Backend,8,46
2018-05-14,Frontend,8,15
2018-05-21,Backend,8,44
2018-05-21,Frontend,8,19
2018-05-28,Backend,8,45
2018-05-28,Frontend,7,20
2018-06-04,Backend,8,46
2018-06-04,Frontend,7,20
2018-06-11,Backend,8,47
2018-06-11,Frontend,7,17
2018-06-18,Backend,8,47
2018-06-18,Frontend,7,17
2018-06-25,Backend,8,47
2018-06-25,Frontend,7,17
2018-07-02,Backend,8,47
2018-07-02,Frontend,7,17
2018-07-09,Backend,8,48
2018-07-09,Frontend,7,15
2018-07-16,Backend,8,49
2018-07-16,Frontend,7,15
2018-07-23,Backend,8,50
2018-07-23,Frontend,7,17
2018-07-30,Backend,8,50
2018-07-30,Frontend,7,17
2018-08-06,Backend,8,50
2018-08-06,Frontend,7,16
2018-08-13,Backend,8,50
2018-08-13,Frontend,7,17
2018-08-20,Backend,8,51
2018-08-20,Frontend,7,17
2018-08-27,Backend,8,51
2018-08-27,Frontend,7,17
2018-09-03,Backend,8,51
2018-09-03,Frontend,7,17
2018-09-10,Backend,8,52
2018-09-10,Frontend,7,17
2018-09-17,Backend,8,52
2018-09-17,Frontend,7,17
2018-09-24,Backend,9,51
2018-09-24,Frontend,7,17
2018-10-01,Backend,9,52
2018-10-01,Frontend,7,18
2018-10-08,Backend,9,52
2018-10-08,Frontend,7,18
2018-10-15,Backend,9,52
2018-10-15,Frontend,7,18
2018-10-22,Backend,9,53
2018-10-22,Frontend,7,18
2018-10-29,Backend,9,53
2018-10-29,Frontend,7,18
2018-11-05,Backend,10,53
2018-11-05,Frontend,7,21
2018-11-12,Backend,9,52
2018-11-12,Frontend,7,18
2018-11-19,Backend,10,54
2018-11-19,Frontend,8,23
2018-11-26,Backend,10,54
2018-11-26,Frontend,8,24
2018-12-03,Backend,10,55
2018-12-03,Frontend,8,25
2018-12-10,Backend,10,53
2018-12-10,Frontend,8,26
2018-12-17,Backend,10,53
2018-12-17,Frontend,8,29
2018-12-24,Backend,11,54
2018-12-24,Frontend,8,30
2018-12-31,Backend,11,54
2018-12-31,Frontend,8,30
2019-01-07,Backend,11,56
2019-01-07,Frontend,8,30
2019-01-14,Backend,11,57
2019-01-14,Frontend,8,30
2019-01-21,Backend,11,61
2019-01-21,Frontend,8,32
2019-01-28,Backend,11,63
2019-01-28,Frontend,8,33
2019-02-04,Backend,11,63
2019-02-04,Frontend,8,34
2019-02-11,Backend,11,65
2019-02-11,Frontend,8,34
2019-02-18,Backend,12,66
2019-02-18,Frontend,8,34
2019-02-25,Backend,12,67
2019-02-25,Frontend,7,37
2019-03-04,Backend,12,67
2019-03-04,Frontend,7,37
2019-03-11,Backend,12,69
2019-03-11,Frontend,7,38
2019-03-18,Backend,12,69
2019-03-18,Frontend,7,38
2019-03-25,Backend,12,69
2019-03-25,Frontend,7,38
2019-04-01,Backend,13,71
2019-04-01,Frontend,7,38
2019-04-08,Backend,13,72
2019-04-08,Frontend,7,40
2019-04-15,Backend,14,71
2019-04-15,Frontend,7,40
2019-04-22,Backend,14,71
2019-04-22,Frontend,7,40
2019-04-29,Backend,14,71
2019-04-29,Frontend,7,40
2019-05-06,Backend,16,71
2019-05-06,Frontend,7,40
2019-05-13,Backend,17,70
2019-05-13,Frontend,7,40
2019-05-20,Backend,17,71
2019-05-20,Frontend,7,40
2019-05-27,Backend,17,74
2019-05-27,Frontend,7,41
2019-06-03,Backend,14,71
2019-06-03,Frontend,7,40
2019-06-10,Backend,18,80
2019-06-10,Frontend,7,43
2019-06-17,Backend,18,81
2019-06-17,Frontend,7,44
2019-06-24,Backend,18,83
2019-06-24,Frontend,7,47
2019-07-01,Backend,18,84
2019-07-01,Frontend,7,47
