stats_used_key_name,stage
assignee_lists,plan
auto_devops_disabled,configure
auto_devops_enabled,configure
boards,plan
campaigns,ignored
campaigns_imported_from_github,manage
ci_builds,verify
ci_external_pipelines,verify
ci_internal_pipelines,verify
ci_pipeline_config_auto_devops,verify
ci_pipeline_config_repository,verify
ci_pipeline_schedules,verify
ci_pipelines,verify
ci_runners,verify
ci_triggers,verify
clusters,monitor
clusters_applications_cert_managers,configure
clusters_applications_helm,configure
clusters_applications_ingress,configure
clusters_applications_knative,configure
clusters_applications_prometheus,monitor
clusters_applications_runner,verify
clusters_disabled,configure
clusters_enabled,configure
clusters_platforms_gke,configure
clusters_platforms_user,configure
container_scanning_jobs,secure
dast_jobs,secure
dependency_list_usages_total,ignored
dependency_scanning_jobs,secure
deploy_keys,create
deployments,release
environments,release
epics,plan
epics_deepest_relationship_level,plan
failed_deployments,release
feature_flags,release
gcp_clusters,configure
gcp_clusters_disabled,configure
gcp_clusters_enabled,configure
geo_nodes,enablement
group_clusters_disabled,configure
group_clusters_enabled,configure
groups,manage
in_review_folder,release
incident_issues,ignored
issues,plan
keys,create
label_lists,plan
labels,plan
ldap_group_links,manage
ldap_keys,manage
ldap_users,manage
lfs_objects,create
license_management_jobs,secure
merge_requests,create
milestone_lists,plan
milestones,plan
notes,plan
observations,ignored
operations_dashboard_default_dashboard,monitor
operations_dashboard_users_with_projects_added,monitor
pages_domains,release
pod_logs_usages_total,ignored
pool_repositories,create
project_clusters_disabled,configure
project_clusters_enabled,configure
projects,plan
projects_enforcing_code_owner_approval,create
projects_imported_from_github,create
projects_jira_active,plan
projects_jira_cloud_active,plan
projects_jira_dvcs_cloud_active,plan
projects_jira_dvcs_server_active,plan
projects_jira_server_active,plan
projects_auto_issue_creation_enabled,monitor
projects_mirrored_with_pipelines_enabled,release
projects_prometheus_active,monitor
projects_reporting_ci_cd_back_to_github,verify
projects_slack_notifications_active,configure
projects_slack_slash_active,configure
projects_with_error_tracking_enabled,monitor
projects_with_packages,package
projects_with_prometheus_alerts,configure
projects_with_repositories_enabled,create
projects_with_tracing_enabled,monitor
protected_branches,create
releases,release
remote_mirrors,create
sast_jobs,secure
service_desk_enabled_projects,plan
service_desk_issues,plan
services,enablement
snippets,create
successful_deployments,release
suggestions,create
todos,plan
uploads,plan
user_preferences_group_overview_details,manage
user_preferences_group_overview_security_dashboard,secure
web_hooks,create
wiki_pages_delete,create
