country code,city,postal code,state name,state abbreviation,county,county number,community,community number,latitude,longitude,accuracy
US,Akutan,99553,Alaska,AK,Aleutians East,13,,,54.143,-165.7854,1
US,Cold Bay,99571,Alaska,AK,Aleutians East,13,,,55.1858,-162.7211,1
US,False Pass,99583,Alaska,AK,Aleutians East,13,,,54.8542,-163.4113,1
US,King Cove,99612,Alaska,AK,Aleutians East,13,,,55.0628,-162.3056,1
US,Sand Point,99661,Alaska,AK,Aleutians East,13,,,55.3192,-160.4914,1
US,Adak,99546,Alaska,AK,Aleutians West (CA),16,,,51.874,-176.634,1
US,Atka,99547,Alaska,AK,Aleutians West (CA),16,,,52.1961,-174.2006,1
US,Saint George Island,99591,Alaska,AK,Aleutians West (CA),16,,,56.5944,-169.6186,1
US,Nikolski,99638,Alaska,AK,Aleutians West (CA),16,,,52.9381,-168.8678,1
US,Saint Paul Island,99660,Alaska,AK,Aleutians West (CA),16,,,57.1842,-170.2764,1
US,Unalaska,99685,Alaska,AK,Aleutians West (CA),16,,,53.8871,-166.5199,1
US,Dutch Harbor,99692,Alaska,AK,Aleutians West (CA),16,,,53.8898,-166.5422,1
US,Anchorage,99501,Alaska,AK,Anchorage Municipality,20,,,61.2116,-149.8761,1
US,Anchorage,99502,Alaska,AK,Anchorage Municipality,20,,,61.1661,-149.96,1
US,Anchorage,99503,Alaska,AK,Anchorage Municipality,20,,,61.19,-149.8938,1
US,Anchorage,99504,Alaska,AK,Anchorage Municipality,20,,,61.2037,-149.7447,1
US,Jber,99505,Alaska,AK,Anchorage Municipality,20,,,59.8666,-158.5996,1
US,Jber,99506,Alaska,AK,Anchorage Municipality,20,,,59.8666,-158.5996,1
US,Anchorage,99507,Alaska,AK,Anchorage Municipality,20,,,61.1535,-149.8289,1
US,Anchorage,99508,Alaska,AK,Anchorage Municipality,20,,,61.206,-149.8101,1
US,Anchorage,99509,Alaska,AK,Anchorage Municipality,20,,,61.2181,-149.9003,1
US,Anchorage,99510,Alaska,AK,Anchorage Municipality,20,,,61.1446,-149.8784,1
