stats_used_key_name,stage
assignee_lists,plan
auto_devops_disabled,configure
auto_devops_enabled,configure
boards,plan
campaigns,ignored
campaigns_imported_from_github,manage
ci_builds,verify
ci_external_pipelines,verify
ci_internal_pipelines,verify
ci_pipeline_config_auto_devops,verify
ci_pipeline_config_repository,verify
ci_pipeline_schedules,verify
ci_pipelines,verify
ci_runners,verify
ci_triggers,verify
clusters,monitor
clusters_applications_cert_managers,configure
clusters_applications_crossplane,configure
clusters_applications_elastic_stack,monitor
clusters_applications_helm,configure
clusters_applications_ingress,configure
clusters_applications_jupyter,configure
clusters_applications_knative,configure
clusters_applications_prometheus,monitor
clusters_applications_runner,verify
clusters_disabled,configure
clusters_enabled,configure
clusters_platforms_eks,configure
clusters_platforms_gke,configure
clusters_platforms_user,configure
commit_comment,create
container_scanning_jobs,secure
cycle_analytics_views,manage
dast_jobs,secure
dependency_list_usages_total,ignored
dependency_scanning_jobs,secure
deploy_keys,create
deployments,release
design_management_designs_create,create
design_management_designs_delete,create
design_management_designs_update,create
environments,release
epics,plan
epics_deepest_relationship_level,plan
failed_deployments,release
feature_flags,release
gcp_clusters,configure
gcp_clusters_disabled,configure
gcp_clusters_enabled,configure
geo_nodes,enablement
grafana_integrated_projects,monitor
group_clusters_disabled,configure
group_clusters_enabled,configure
groups,manage
in_review_folder,release
incident_issues,ignored
ingress_modsecurity_blocking,configure
ingress_modsecurity_disabled,configure
issues,plan
issues_created_from_gitlab_error_tracking_ui,monitor
issues_using_zoom_quick_actions,monitor
issues_with_associated_zoom_link,monitor
issues_with_embedded_grafana_charts_approx,monitor
keys,create
label_lists,plan
labels,plan
ldap_group_links,manage
ldap_keys,manage
ldap_users,manage
lfs_objects,create
license_management_jobs,secure
licenses_list_views,secure
merge_request_comment,create
merge_request_create,create
merge_requests,create
milestone_lists,plan
milestones,plan
navbar_searches,create
notes,plan
observations,ignored
operations_dashboard_default_dashboard,monitor
operations_dashboard_users_with_projects_added,monitor
pages_domains,release
pod_logs_usages_total,ignored
pool_repositories,create
productivity_analytics_views,manage
project_clusters_disabled,configure
project_clusters_enabled,configure
projects,plan
projects_alerts_active,enablement
projects_asana_active,enablement
projects_assembla_active,enablement
projects_auto_issue_creation_enabled,monitor
projects_bamboo_active,enablement
projects_bugzilla_active,enablement
projects_buildkite_active,enablement
projects_campfire_active,enablement
projects_conclusion_active,ignored
projects_custom_issue_tracker_active,enablement
projects_discord_active,enablement
projects_drone_ci_active,enablement
projects_emails_on_push_active,enablement
projects_enforcing_code_owner_approval,create
projects_external_wiki_active,enablement
projects_flowdock_active,enablement
projects_github_active,enablement
projects_gitlab_slack_application_active,enablement
projects_hangouts_chat_active,enablement
projects_hipchat_active,enablement
projects_imported_from_github,create
projects_irker_active,enablement
projects_jenkins_active,enablement
projects_jenkins_deprecated_active,enablement
projects_jira_active,plan
projects_jira_cloud_active,plan
projects_jira_dvcs_cloud_active,plan
projects_jira_dvcs_server_active,plan
projects_jira_server_active,plan
projects_mattermost_active,enablement
projects_mattermost_slash_commands_active,enablement
projects_microsoft_teams_active,enablement
projects_mirrored_with_pipelines_enabled,release
projects_mock_ci_active,enablement
projects_mock_deployment_active,enablement
projects_mock_monitoring_active,enablement
projects_packagist_active,enablement
projects_pipelines_email_active,enablement
projects_pivotaltracker_active,enablement
projects_prometheus_active,monitor
projects_pushover_active,enablement
projects_redmine_active,enablement
projects_reporting_ci_cd_back_to_github,verify
projects_slack_active,enablement
projects_slack_notifications_active,enablement
projects_slack_slash_active,enablement
projects_slack_slash_commands_active,enablement
projects_teamcity_active,enablement
projects_unify_circuit_active,enablement
projects_with_alerts_service_enabled,monitor
projects_with_error_tracking_enabled,monitor
projects_with_packages,package
projects_with_prometheus_alerts,configure
projects_with_repositories_enabled,create
projects_with_tracing_enabled,monitor
projects_youtrack_active,enablement
protected_branches,create
releases,release
remote_mirrors,create
sast_jobs,secure
service_desk_enabled_projects,plan
service_desk_issues,plan
services,enablement
snippet_comment,create
snippet_create,create
snippet_update,create
snippets,create
source_code_pushes,create
successful_deployments,release
suggestions,create
template_repositories,create
todos,plan
uploads,plan
user_preferences_group_overview_details,manage
user_preferences_group_overview_security_dashboard,secure
web_hooks,create
web_ide_commits,create
web_ide_merge_requests,create
web_ide_previews,create
web_ide_views,create
wiki_pages_create,create
wiki_pages_delete,create
wiki_pages_update,create
